Employee ID,Employee Name,Gender,Email,Band,Date Of Joining,Contact No.,Reporting Manager,Reportees,Tech Area,Project info,\n
210016,Yaswanth,Male,yaswanth.akula@thundersoft.com,E2,04/09/22,9694930604,Vageshwari,Vageeswari Panchagnula[0210151],C – DS -OS ADB GIT Basic LLD Audio,AMD-HYD,\n
210017,Manoj,Male,manoj.kasula@thundersoft.com,Intern,05/09/22,9694930605,Vageshwari,Kalyani Polepeddy[0210167],C – DS -OS GIT,Soumya’s ODC,\n
210018,Rishitha,Female,Rishitha.r@thundersoft.com,Intern,06/09/22,9694930606,Vageshwari,Balaramu Naidu[0210058],C – DS -OS GIT,AMD-HYD,\n
210019,Devendra,Male,devendra.l@thundersoft.com,Intern,07/09/22,9694930607,Vageshwari,Bathula Tulasi[0210317],C – DS -OS ADB GIT Basic LLD Camera,Training,\n
210020,Manasa,Female,manasa.k@thundersoft.com,Intern,08/09/22,9694930608,Kalyani,Sivaram kuppa[ 02010110],C – DS -OS ADB GIT Basic LLD Audio,QC REQS,\n
210021,Namrata,Female,Namrata.1122@thundersoft.com,E1,09/09/22,9694930609,Kalyani,Farida M[0210179],C – DS -OS GIT,QC-BANG,\n
210022,Selena,Female,Selena.9988@thundersoft.com,E2,10/09/22,9694930610,Vageshwari,Duryodanula Anil[0210088],C – DS -OS GIT,QC-HYD,\n
210023,Anusha,Female,Anusha.0504@thundersoft.com,E4,11/09/22,9694930611,Vageshwari,Balaramu Naidu[0210058],C – DS -OS GIT,MICRON,\n
210024,Simran,Female,simran.revula@thundersoft.com,E4,12/09/22,9694930612,Anirudh,Akella Prasanna Kumar[0210108],C – DS -OS GIT ADB Python Perl,Visteon Audio,\n
210025,Virendra,Male,Virendra.667@thundersoft.com,E4,13/09/22,9694930613,Marina,Ravi Kumar Gupta[0210501],C – DS -OS GIT ADB Python Perl,Soumya’s ODC,\n
210026,Venu Gopal,Male,venu.gopal@thundersoft.com,E4,14/09/22,9694930614,Kalyani,Siddalingesh Koosalapur[0210194],C – DS -OS Basic LDD GIT Audio,Training,\n
210027,Rama Krishna,Male,rama.krishna@thundersoft.com,E4,15/09/22,9694930615,Kalyani,Shanthi Sidhu[0210030],C – DS -OS GIT ADB Python Basics embedded concepts in DD,AMD-HYD,\n
210028,Vivek,Male,vivek.e@thundersoft.com,E4,16/09/22,9694930616,Marina,Siddalingesh Koosalapur[0210194],C – DS -OS GIT ADB Python Basics embedded concepts in DD,QC-HYD,\n
210029,Ajay,Male,ajay.anna@thundersoft.com,E4,17/09/22,9694930617,Marina,Shanthi Sidhu[0210030],C – DS -OS GIT,QC-BANG,\n
210030,Hussain,Male,hussian.valli@thundersoft.com,Intern,18/09/22,9694930618,Anirudh,Karnati Nageswara[0210169],C – DS -OS GIT,Training,\n
210031,Sandeep,Male,sandeep.nimmalaganti@thundersoft.com,Intern,19/09/22,9694930619,Anirudh,Balaramu Naidu[0210058],C – DS -OS GIT,Soumya’s ODC,\n
210032,Divya,Female,divya.rontala@thundersoft.com,Intern,20/09/22,9694930620,Vageshwari,Karnati Nageswara[0210169],C – DS -OS GIT Basic LLD ,Mavenir,\n
210033,Rithika,Female,rithika.d@thundersoft.com,Intern,21/09/22,9694930621,Kalyani,Kalyani Polepeddy[0210167],C – DS -OS GIT Basic LLD ,MICRON,\n
210034,Nimisha,Female,nimisha.r@thundersoft.com,Intern,22/09/22,9694930622,Vageshwari,Akella Prasanna Kumar[0210108],C – DS -OS GIT Basic LLD ,AMD-HYD,\n
210035,Neha,Female,neha.shetty@thundersoft.com,Intern,23/09/22,9694930623,Kalyani,Duryodanula Anil[0210088],C – DS -OS Basic LDD GIT Audio,QC-BANG,\n
210036,Chaitanya,Male,chatanya.dudiyala@thundersoft.com,Intern,24/09/22,9694930624,Vageshwari,Farida M[0210179],C – DS -OS GIT,QC-HYD,\n
210037,Hema,Female,hema.anjali@thundersoft.com,Intern,25/09/22,9694930625,Vageshwari,Sachin bhayare[0210001],C – DS -OS Basic LDD GIT Audio,AMD-HYD,\n
210038,Mohit,Male,mohit.kumar@thundersoft.com,Intern,26/09/22,9694930626,Vageshwari,Siddalingesh Koosalapur[0210194],C – DS -OS GIT ADB Python,Soumya’s ODC,\n
210039,Dattu,Male,dattu.s@thundersoft.com,E4,27/09/22,9694930627,Kalyani,Sivaram kuppa[ 02010110],C – DS -OS GIT ADB Python,Training,\n
210040,Pridhvi,Male,pridhvi.raj@thundersoft.com,E4,28/09/22,9694930628,Anirudh,Anurag Sharma[0210148],C – DS -OS GIT ADB Python,Mavenir,\n
210041,Prakash,Male,prakash.raj@thundersoft.com,E4,29/09/22,9694930629,Kalyani,Balaramu Naidu[0210058],C – DS -OS GIT Basic LLD ,Onboarded,\n
210042,Pavan,Male,pavan.konidela@thundersoft.com,E1,30/09/22,9694930630,Kalyani,Shanthi Sidhu[0210030],C – DS -OS GIT Basic LLD ,Bench Resource,\n
210043,Kalyan,Male,kalyan.kamineni@thundersoft.com,E1,01/10/22,9694930631,Kalyani,Kalyani Polepeddy[0210167],C – DS -OS GIT Basic LLD ,Visteon Audio,\n
210044,Chidhvilas,Male,chidhu.dakuri@thundersoft.com,E1,02/10/22,9694930632,Kalyani,Karnati Nageswara[0210169],C – DS -OS GIT Basic LLD ,Training,\n
210045,Sai krishna,Male,sai.t@thundersoft.com,E1,03/10/22,9694930633,Kalyani,Sivaram kuppa[ 02010110],C – DS -OS GIT Basic LLD ,Bench Resource,\n
210046,Santoshi,Female,santhoshi.reddy1@thundersoft.com,E1,04/10/22,9694930634,Kalyani,Sachin bhayare[0210001],C – DS -OS GIT Basic LLD ,Visteon Audio,\n
210047,Chandana,Female,chndana.siddhula6@thundersoft.com,E2,05/10/22,9694930635,Kalyani,Siddalingesh Koosalapur[0210194],C – DS -OS GIT Basic LLD ,Onboarded,\n
210048,Srinivas,Male,srinu.kasula6@thundersoft.com,Intern,06/10/22,9694930636,Vageshwari,Farida M[0210179],C – DS -OS ADB GIT Basic LLD Camera,AMD-HYD,\n
210049,Prasanna,Female,prasanna.d7@thundersoft.com,E3,07/10/22,9694930637,Vageshwari,Akella Prasanna Kumar[0210108],C – DS -OS ADB GIT Basic LLD Camera,QC REQS,\n
210050,Akash,Male,akash.n11@thundersoft.com,E4,08/10/22,9694930638,Vageshwari,Balaramu Naidu[0210058],C – DS -OS ADB GIT Basic LLD Camera,QC-BANG,\n
210051,Lakshmi,Female,lakshmi.maulugu54@thundersoft.com,E4,09/10/22,9694930639,Vageshwari,Vageeswari Panchagnula[0210151],C – DS -OS ADB GIT Basic LLD Camera,QC-HYD,\n
210052,Imman,Male,imman.d33@thundersoft.com,E4,10/10/22,9694930640,Vageshwari,Duryodanula Anil[0210088],C – DS -OS ADB GIT Basic LLD Camera,Soumya’s ODC,\n
210053,Harris ,Male,harris.jayaraj25@thundersoft.com,E4,11/10/22,9694930641,Vageshwari,Farida M[0210179],C – DS -OS GIT ADB Python Perl,Visteon Audio,\n
210054,Anirudh,Male,anirudh.ravichander01@thundersoft.com,E1,12/10/22,9694930642,Kalyani,Ravi Kumar Gupta[0210501],C – DS -OS GIT ADB Python Perl,Mavenir,\n
210055,Ravinder,Male,ravinder.kasula06@thundersoft.com,E2,13/10/22,9694930643,Kalyani,Balaramu Naidu[0210058],C – DS -OS GIT ADB Python Perl,MICRON,\n
210056,Shashank,Male,shashank.s99@thundersoft.com,Intern,14/10/22,9694930644,Anirudh,Sachin bhayare[0210001],C – DS -OS GIT ADB Python Perl,Onboarded,\n
210057,Padma,Female,padma.d88@thundersoft.com,E4,15/10/22,9694930645,Vageshwari,Vageeswari Panchagnula[0210151],C – DS -OS GIT ADB Python Perl,Bench Resource,\n
210058,Phani,Male,Phani.00@thundersoft.com,E3,16/10/22,9694930646,Anirudh,Kalyani Polepeddy[0210167],C – DS -OS GIT ADB Python Perl,QC REQS,\n
210059,Johny,Male,Johnny.99@thundersoft.com,Intern,17/10/22,9694930647,Anirudh,Balaramu Naidu[0210058],C – DS -OS GIT,QC-BANG,\n
210060,Karthik,Male,karthik.gautham90@thundersoft.com,E3,18/10/22,9694930648,Pawan,Farida M[0210179],C – DS -OS GIT,Visteon Audio,\n
210061,Suriya,Male,suriya.shivakumar@thundersoft.com,E2,19/10/22,9694930649,Kalyani,Akella Prasanna Kumar[0210108],C – DS -OS GIT,Onboarded,\n
210062,Vijay,Male,vijay.joseph01@thundersoft.com,E1,20/10/22,9694930650,Kalyani,Kalyani Polepeddy[0210167],C – DS -OS GIT,Bench Resource,\n
210063,Rajesh,Male,rajesh.shetty@thundersoft.com,Intern,21/10/22,9694930651,Kalyani,Duryodanula Anil[0210088],C – DS -OS GIT,Soumya’s ODC,\n
210064,Varun,Male,varun.konidela06@thundersoft.com,Intern,22/10/22,9694930652,Kalyani,Tellapati reddaiah[0210154],C – DS -OS GIT,Training,\n
210065,Raghu,Male,raghu.dev00@thundersoft.com,Intern,23/10/22,9694930653,Kalyani,Balaramu Naidu[0210058],C – DS -OS GIT ADB Python Basics embedded concepts in DD,Mavenir,\n
210066,Satya Dev,Male,Sathyadev.77@thundersoft.com,Intern,24/10/22,9694930654,Anirudh,Akella Prasanna Kumar[0210108],C – DS -OS GIT ADB Python Basics embedded concepts in DD,Onboarded,\n
210067,Ambika,Female,ambika.lakshmi98@thundersoft.com,Intern,25/10/22,9694930655,Anirudh,Ravi Kumar Gupta[0210501],C – DS -OS GIT ADB Python Basics embedded concepts in DD,MICRON,\n
210068,Thrisha,Female,thrisha.h78@thundersoft.com,E1,26/10/22,9694930656,Anirudh,Duryodanula Anil[0210088],C – DS -OS GIT ADB Python Basics embedded concepts in DD,Bench Resource,\n
210069,Anikha,Female,anikha.g88@thundersoft.com,E1,27/10/22,9694930657,Anirudh,Kalyani Polepeddy[0210167],C – DS -OS GIT ADB Python Basics embedded concepts in DD,QC-HYD,\n
210070,Chetana,Female,chetana.dakuro@thundersoft.com,E4,28/10/22,9694930658,Pawan,Tellapati reddaiah[0210154],C – DS -OS GIT ADB Python Basics embedded concepts in DD,Training,\n
210071,Jessy,Female,jessy.mani@thundersoft.com,Intern,29/10/22,9694930659,Anirudh,Sachin bhayare[0210001],C – DS -OS GIT ADB Python Basics embedded concepts in DD,Bench Resource,\n
210072,Sudharshan,Male,sudharshan.rtc12@thundersoft.com,Intern,30/10/22,9694930660,Pawan,Siddalingesh Koosalapur[0210194],C – DS -OS ADB GIT Basic LLD Camera,Soumya’s ODC,\n
210073,Pranisha,Female,pranisha.dakuri@thundersoft.com,E1,31/10/22,9694930661,Anirudh,Balaramu Naidu[0210058],C – DS -OS ADB GIT Basic LLD Camera,Visteon Audio,\n
210074,Prathusha,Female,prathusha.palluri@thundersoft.com,E1,01/11/22,9694930662,Vageshwari,Kalyani Polepeddy[0210167],C – DS -OS GIT,Onboarded,\n
210075,Vaishnavi,Female,Vaishnavi.00@thundersoft.com,E1,02/11/22,9694930663,Pawan,Vageeswari Panchagnula[0210151],C – DS -OS ADB GIT Basic LLD Camera,Soumya’s ODC,\n
210076,Anushka,Female,anushka.sweety9@thundersoft.com,E1,03/11/22,9694930664,Anirudh,Balaramu Naidu[0210058],C – DS -OS ADB GIT Basic LLD Camera,QC REQS,\n
210077,Damodar,Male,damodar.d77@thundersoft.com,E1,04/11/22,9694930665,Kalyani,Tellapati reddaiah[0210154],C – DS -OS GIT Basic LLD ,QC-HYD,\n
210078,Mithila,Female,mithila.parker87@thundersoft.com,E4,05/11/22,9694930666,Kalyani,Ravi Kumar Gupta[0210501],C – DS -OS GIT Basic LLD ,QC-BANG,\n
210079,Mrunal,Female,mrunal.takkur@thundersoft.com,E4,06/11/22,9694930667,Vageshwari,Duryodanula Anil[0210088],C – DS -OS GIT Basic LLD ,Onboarded,\n
210080,Shreya,Female,shreya.dhanwarthy@thundersoft.com,E2,07/11/22,9694930668,Anirudh,Siddalingesh Koosalapur[0210194],C – DS -OS GIT Basic LLD ,Bench Resource,\n
210081,Dhanya,Female,dhanya.o99@thundersoft.com,E2,08/11/22,9694930669,Anirudh,Akella Prasanna Kumar[0210108],C – DS -OS GIT,Mavenir,\n
210082,Eesha,Female,eesha.rebba00@thundersoft.com,E2,09/11/22,9694930670,Vageshwari,Kalyani Polepeddy[0210167],C – DS -OS GIT,Resigned,\n
210083,Sanjana,Female,sanjana67.k@thundersoft.com,$,10/11/22,9694930671,Vageshwari,Vageeswari Panchagnula[0210151],C – DS -OS GIT,MICRON,\n
210084,Harsritha,Female,harsritha.adla77@thundersoft.com,Intern,11/11/22,9694930672,Vageshwari,Ravi Kumar Gupta[0210501],C – DS -OS GIT,Resigned,\n
210085,Raghavendra,Male,Raghavendra.00@thundersoft.com,Intern,12/11/22,9694930673,Vageshwari,Balaramu Naidu[0210058],C – DS -OS Basic LDD GIT Audio,QC-HYD,\n
210086,Sudeep,Male,sudeep.kishan1@thundersoft.com,Intern,13/11/22,9694930674,Kalyani,Duryodanula Anil[0210088],C – DS -OS Basic LDD GIT Audio,Bench Resource,\n
210087,Bharath,Male,bharath.sabavath87@thundersoft.com,E1,14/11/22,9694930675,Kalyani,Tellapati reddaiah[0210154],C – DS -OS GIT ADB Python Basics embedded concepts in DD,Onboarded,\n
210088,Vineeth,Male,vineeth.rontala45@thundersoft.com,E1,15/11/22,9694930676,Kalyani,Ravi Kumar Gupta[0210501],C – DS -OS GIT ADB Python Basics embedded concepts in DD,Resigned,\n
210089,Harini,Female,harini.kala7@thundersoft.com,E1,16/11/22,9694930677,Kalyani,Kalyani Polepeddy[0210167],C – DS -OS GIT ADB Python Basics embedded concepts in DD,QC REQS,\n
210090,Mounika,Female,mounika.kasula28@thundersoft.com,E4,17/11/22,9694930678,Marina,Vageeswari Panchagnula[0210151],C – DS -OS GIT ADB Python Basics embedded concepts in DD,Onboarded,\n
210091,Deepika,Female,deepika.nammala34@thundersoft.com,E4,18/11/22,9694930679,Anirudh,Tellapati reddaiah[0210154],C – DS -OS GIT ADB Python Perl,Bench Resource,\n
210092,Sreeja,Female,"Sreejareddy,8@thundersoft.com",E3,19/11/22,9694930680,Marina,Sachin bhayare[0210001],C – DS -OS GIT,QC REQS,\n
210093,Meghana,Female,meghana.rupi7@thundersoft.com,E3,20/11/22,9694930681,Marina,Vageeswari Panchagnula[0210151],C – DS -OS GIT,Visteon Audio,\n
210094,Rajeshwari,Female,rajeshwari.l9@thundersoft.com,Intern,21/11/22,9694930682,Marina,Siddalingesh Koosalapur[0210194],C – DS -OS GIT ADB Python Perl,Resigned,\n
210095,Nikhil,Male,nikhil.d33@thundersoft.com,Intern,22/11/22,9694930683,Anirudh,Akella Prasanna Kumar[0210108],C – DS -OS Basic LDD GIT Audio,Visteon Audio,\n
210096,Asritha,Female,asritha.m99@thundersoft.com,E1,23/11/22,9694930684,Vageshwari,Balaramu Naidu[0210058],C – DS -OS Basic LDD GIT Audio,QC-HYD,\n
210097,Dinesh,Male,dinesh.tn0@thundersoft.com,E2,24/11/22,9694930685,Kalyani,Kalyani Polepeddy[0210167],C – DS -OS GIT,Resigned,\n
210098,Aishwarya,Female,aish.kola1@thundersoft.com,E4,25/11/22,9694930686,Vageshwari,Ravi Kumar Gupta[0210501],C – DS -OS Basic LDD GIT Audio,Onboarded,\n
210099,Vishal chandra,Male,vishal.chandra6@thundersoft.com,E4,26/11/22,9694930687,Pawan,Akella Prasanna Kumar[0210108],C – DS -OS GIT ADB Python Perl,Bench Resource,\n
210100,Shankar,Male,shankar.shanmugam8@thundersoft.com,E3,27/11/22,9694930688,Kalyani,Sachin bhayare[0210001],C – DS -OS GIT ADB Python,QC-HYD,\n
